Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
35.0,902.20502,888.61987,2473.59839,992.71118,1560.65479,1943.98303,706.04694,796.70074,599.34589,175.59023,114.95667,86.50929,3343.27173,935.39386,273.00476,172.66406,179.15649,293.9852
35.0,902.20502,889.55823,2479.31128,989.04126,1565.0387,1937.01538,696.91705,788.12891,599.34589,174.44258,114.33527,85.55864,3341.04419,937.44745,272.15692,172.66406,180.05678,293.9852
35.67,908.7785,897.06506,2497.40137,993.62866,1577.45959,1972.55054,711.11914,796.22449,601.01306,174.82513,114.95667,85.55864,3377.7959,968.25073,275.54828,175.1544,180.95706,297.52719
35.67,905.49176,898.00342,2530.72559,996.38104,1610.3385,2015.75012,705.03253,795.74829,596.01154,174.44258,115.57805,85.55864,3390.04639,983.6524,279.78748,177.64476,183.65791,298.70786
35.33,906.31342,862.34601,2450.7478,986.28882,1570.88379,1918.20264,743.07385,841.46454,607.26489,177.50298,115.57805,86.50929,3470.23145,995.97369,282.33099,179.30499,184.5582,311.69516
35.33,968.76117,907.38696,2438.37012,1019.31799,1586.22729,1925.17029,721.77069,829.08307,615.60071,177.12042,116.82082,87.45995,3541.50708,1029.8573,284.02667,180.1351,190.86018,316.41782
35.33,965.47443,913.95544,2474.55054,1034.91516,1610.3385,2004.60181,716.19135,807.17737,610.18243,179.03317,118.0636,88.4106,3592.73633,1026.77698,291.65726,183.45557,192.66075,317.59848
35.67,787.1698,798.53802,2088.94336,922.06537,1461.28723,1713.35278,738.00165,829.55927,637.69067,174.44258,114.95667,86.50929,3148.37744,931.28674,250.96089,158.55209,177.35593,291.62387
36.0,753.4809,790.0929,2224.14404,856.92444,1355.34399,1638.79858,696.40985,798.60559,613.51678,167.55669,108.74279,83.65734,3032.55444,940.52777,245.87384,160.21233,170.15366,286.90121
35.0,787.99146,802.29144,2193.67627,873.43903,1329.77136,1638.10181,680.17883,793.36725,611.4328,170.23454,108.74279,85.55864,3067.07861,928.20642,245.87384,157.72198,167.4528,284.53989
